App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,vader
Coloring book moana,ART_AND_DESIGN,3.90,967,967000000,500000,Free,0,Everyone,Art & Design;Pretend Play,0.152651515
Garden Coloring Book,ART_AND_DESIGN,4.40,13791,13791000000,1000000,Free,0,Everyone,Art & Design,0.268482894
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.30,194216,194216000000,5000000,Free,0,Everyone,Art & Design,0.41264881
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.10,654,654000000,100000,Free,0,Everyone,Art & Design,0.283508772
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.70,20260,20260000000,500000,Free,0,Everyone,Art & Design;Creativity,0.171835953
Animated Photo Editor,ART_AND_DESIGN,4.10,203,203000000,100000,Free,0,Everyone,Art & Design,0.291857143
Anime Manga Coloring Book,ART_AND_DESIGN,4.50,5035,5035000000,100000,Free,0,Everyone,Art & Design,0.360990767
Easy Origami Ideas,ART_AND_DESIGN,4.20,1015,1015000000,100000,Free,0,Everyone,Art & Design,0.099452614
Floor Plan Creator,ART_AND_DESIGN,4.10,36639,25458349,5000000,Free,0,Everyone,Art & Design,0.264615476
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.70,174531,174531000000,10000000,Free,0,Everyone,Art & Design,0.204839569
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.90,7774,7774000000,100000,Free,0,Everyone,Auto & Vehicles,0.241125992
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.60,2431,2431000000,100000,Free,0,Everyone,Auto & Vehicles,0.308574747
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.90,6090,6090000000,100000,Free,0,Everyone,Auto & Vehicles,0.295660321
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.20,271920,271920000000,10000000,Free,0,Teen,Auto & Vehicles,0.287792304
Best Car Wallpapers,AUTO_AND_VEHICLES,4.50,994,994000000,100000,Free,0,Everyone,Auto & Vehicles,-0.133333333
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.30,348,348000000,100000,Free,0,Everyone,Auto & Vehicles,0.307698608
AutoScout24 Switzerland â€“ Find your new car,AUTO_AND_VEHICLES,4.60,13372,25458349,1000000,Free,0,Everyone,Auto & Vehicles,0.416951416
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.60,65786,25458349,1000000,Free,0,Everyone,Auto & Vehicles,0.440864868
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.90,1739,1739000000,500000,Free,0,Everyone,Beauty,-0.03798581
Hairstyles step by step,BEAUTY,4.60,4369,4369000000,100000,Free,0,Everyone,Beauty,0.470913066
Filters for Selfie,BEAUTY,4.30,8572,8572000000,1000000,Free,0,Everyone,Beauty,0.09912037
Beauty Camera - Selfie Camera,BEAUTY,4.00,113715,25458349,10000000,Free,0,Everyone,Beauty,0.199993662
Filters for B Live,BEAUTY,4.40,2280,2280000000,500000,Free,0,Everyone,Beauty,0.168017677
Dresses Ideas & Fashions +3000,BEAUTY,4.50,473,473000000,100000,Free,0,Mature 17,Beauty,0.430603448
Amazon Kindle,BOOKS_AND_REFERENCE,4.20,814080,25458349,100000000,Free,0,Teen,Books & Reference,0.065191867
Cool Reader,BOOKS_AND_REFERENCE,4.50,246315,25458349,10000000,Free,0,Everyone,Books & Reference,0.115840792
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.50,454060,25458349,10000000,Free,0,Everyone,Books & Reference,0.238731061
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.50,418,418000000,100000,Free,0,Everyone,Books & Reference,0.25
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.50,203130,25458349,10000000,Free,0,Everyone,Books & Reference,0.277704811
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.60,90468,90468000000,5000000,Free,0,Everyone,Books & Reference,0.245551185
FamilySearch Tree,BOOKS_AND_REFERENCE,4.30,17506,17506000000,1000000,Free,0,Everyone,Books & Reference,0.20932583
Ebook Reader,BOOKS_AND_REFERENCE,4.10,85842,85842000000,5000000,Free,0,Everyone,Books & Reference,0.342532488
All Maths Formulas,BOOKS_AND_REFERENCE,4.40,2709,2709000000,1000000,Free,0,Everyone,Books & Reference,0.354636544
Ancestry,BOOKS_AND_REFERENCE,4.30,64513,25458349,5000000,Free,0,Everyone,Books & Reference,0.272630304
HTC Help,BOOKS_AND_REFERENCE,4.20,8342,25458349,10000000,Free,0,Everyone,Books & Reference,0.106870213
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.40,8788,8788000000,1000000,Free,0,Everyone,Books & Reference,0.393513424
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.40,51269,51269000000,1000000,Free,0,Everyone,Books & Reference,0.34045045
All Language Translator Free,BOOKS_AND_REFERENCE,4.40,30105,30105000000,1000000,Free,0,Everyone,Books & Reference,0.39278355
Azpen eReader,BOOKS_AND_REFERENCE,3.50,156,156000000,500000,Free,0,Everyone,Books & Reference,0.242624224
Docs To Goâ„¢ Free Office Suite,BUSINESS,4.10,217730,25458349,50000000,Free,0,Everyone,Business,0.206290785
Google My Business,BUSINESS,4.40,70991,25458349,5000000,Free,0,Everyone,Business,0.268436286
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.50,4458,4458000000,500000,Free,0,Everyone,Business,0.393703482
Google Primer,BUSINESS,4.40,62272,62272000000,10000000,Free,0,Everyone,Business,0.75
Facebook Pages Manager,BUSINESS,4.00,1279184,25458349,50000000,Free,0,Everyone,Business,-0.061082729
Box,BUSINESS,4.20,159872,25458349,10000000,Free,0,Everyone,Business,0.410000509
Call Blocker,BUSINESS,4.60,188841,188841000000,5000000,Free,0,Everyone,Business,0.027972583
Easy Installer - Apps On SD,BUSINESS,4.10,23055,25458349,5000000,Free,0,Everyone,Business,-0.009110334
Facebook Ads Manager,BUSINESS,4.10,19023,25458349,1000000,Free,0,Everyone,Business,0.203400536
Genius Scan - PDF Scanner,BUSINESS,4.40,42492,25458349,1000000,Free,0,Everyone,Business,0.243160676
Fast Scanner : Free PDF Scan,BUSINESS,4.50,103755,103755000000,10000000,Free,0,Everyone,Business,0.313063161
Google Ads,BUSINESS,4.30,29313,29313000000,5000000,Free,0,Everyone,Business,0.139965337
FreshBooks Classic,BUSINESS,4.10,1802,1802000000,100000,Free,0,Everyone,Business,0.100529893
HipChat - Chat Built for Teams,BUSINESS,3.80,5868,5868000000,500000,Free,0,Everyone,Business,-0.037827877
Crew - Free Messaging and Scheduling,BUSINESS,4.60,4159,4159000000,500000,Free,0,Everyone,Business,0.417331952
Asana: organize team projects,BUSINESS,4.30,20815,20815000000,1000000,Free,0,Everyone,Business,0.230645463
AdWords Express,BUSINESS,4.10,7149,7149000000,1000000,Free,0,Everyone,Business,0.194843939
Accounting App - Zoho Books,BUSINESS,4.50,3079,3079000000,100000,Free,0,Everyone,Business,0.448664487
Cisco Webex Meetings,BUSINESS,4.40,108741,108741000000,10000000,Free,0,Everyone,Business,0.103577025
Cisco Webex Teams,BUSINESS,4.20,1661,1661000000,100000,Free,0,Everyone,Business,0.129418125
DC Comics,COMICS,4.20,25671,25458349,1000000,Free,0,Teen,Comics,0.478809474
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.70,3596,3596000000,10000,Free,0,Teen,Comics,0.300429293
Gmail,COMMUNICATION,4.30,4604324,25458349,1000000000,Free,0,Everyone,Communication,0.071383102
Hangouts,COMMUNICATION,4.00,3419249,25458349,1000000000,Free,0,Everyone,Communication,0.251503329
Firefox Browser fast & private,COMMUNICATION,4.40,3075028,25458349,100000000,Free,0,Everyone,Communication,0.110142019
Contacts,COMMUNICATION,4.30,66602,25458349,50000000,Free,0,Everyone,Communication,0.01224871
Browser 4G,COMMUNICATION,4.30,192948,192948000000,10000000,Free,0,Everyone,Communication,0.337083612
Cricket Visual Voicemail,COMMUNICATION,3.90,13698,13698000000,10000000,Free,0,Everyone,Communication,0.062002592
Firefox Focus: The privacy browser,COMMUNICATION,4.40,36880,36880000000,1000000,Free,0,Everyone,Communication,0.209248589
Google Voice,COMMUNICATION,4.20,171031,25458349,10000000,Free,0,Everyone,Communication,0.152479285
Chrome Dev,COMMUNICATION,4.40,63543,25458349,5000000,Free,0,Everyone,Communication,0.333793361
Android Messages,COMMUNICATION,4.20,781810,25458349,100000000,Free,0,Everyone,Communication,0.071675938
Google Duo - High Quality Video Calls,COMMUNICATION,4.60,2083237,25458349,500000000,Free,0,Everyone,Communication,0.285689815
AT&T Visual Voicemail,COMMUNICATION,3.70,13761,25458349,10000000,Free,0,Everyone,Communication,0.029975541
GMX Mail,COMMUNICATION,4.30,258556,25458349,10000000,Free,0,Everyone,Communication,0.340047078
Calls & Text by Mo+,COMMUNICATION,4.20,83239,83239000000,5000000,Free,0,Everyone,Communication,0.466666667
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.40,2876500,2876500000000,100000000,Free,0,Everyone,Communication,0.202488276
GroupMe,COMMUNICATION,4.50,330761,25458349,10000000,Free,0,Everyone,Communication,0.118440041
BBM - Free Calls & Messages,COMMUNICATION,4.30,12842860,25458349,100000000,Free,0,Everyone,Communication,0.154423252
2ndLine - Second Phone Number,COMMUNICATION,4.20,15880,15880000000,1000000,Free,0,Everyone,Communication,0.168968209
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.60,2264916,2264916000000,50000000,Free,0,Everyone,Communication,0.0125
DU Browserâ€”Browse fast & fun,COMMUNICATION,4.30,1133501,1133501000000,10000000,Free,0,Everyone,Communication,0.177266098
Contacts+,COMMUNICATION,4.20,190613,190613000000,10000000,Free,0,Everyone,Communication,0.410814583
ExDialer - Dialer & Contacts,COMMUNICATION,4.20,125232,125232000000,10000000,Free,0,Everyone,Communication,0.271352799
Full Screen Caller ID,COMMUNICATION,4.20,104990,104990000000,5000000,Free,0,Everyone,Communication,0.345576124
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.40,483565,483565000000,10000000,Free,0,Everyone,Communication,0.390740741
CIA - Caller ID & Call Blocker,COMMUNICATION,4.00,60308,25458349,5000000,Free,0,Everyone,Communication,0.217814626
Calls Blacklist - Call Blocker,COMMUNICATION,4.50,457283,25458349,10000000,Free,0,Everyone,Communication,0.124162338
Call Control - Call Blocker,COMMUNICATION,4.40,93825,93825000000,5000000,Free,0,Everyone,Communication,-0.041666667
Burner - Free Phone Number,COMMUNICATION,4.30,14873,25458349,1000000,Free,0,Everyone,Communication,0.065300926
